left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.6387409567832947, 0.32048553228378296, 0.0490957535803318]","[0.6241598725318909, 0.3132357597351074, 0.038347527384757996]","[0.6062424182891846, 0.31452661752700806, 0.035078804939985275]","[0.588937520980835, 0.325053870677948, 0.037682563066482544]","[0.6058255434036255, 0.3298109173774719, 0.032695792615413666]","[0.6248084306716919, 0.327964723110199, 0.03659489005804062]","[0.5188704133033752, 0.3387446999549866, 0.03388945385813713]","[0.5001237988471985, 0.3354128301143646, 0.029549822211265564]","[0.482057124376297, 0.3412754535675049, 0.031117746606469154]","[0.46774518489837646, 0.3538363575935364, 0.04057428985834122]","[0.483623743057251, 0.3559678792953491, 0.02942844107747078]","[0.5024347305297852, 0.3499353528022766, 0.0273849256336689]","[0.483623743057251, 0.3559678792953491, 0.02942844107747078]","[0.5230627059936523, 0.5396119356155396, -0.03162365406751633]","[0.555249035358429, 0.5090909600257874, -0.046357836574316025]","[0.5779514908790588, 0.5040337443351746, -0.045400019735097885]","[0.6108661890029907, 0.5203269720077515, -0.027583181858062744]","[0.5798391103744507, 0.5118247866630554, -0.04888739809393883]","[0.5553126335144043, 0.5170489549636841, -0.049921825528144836]","[0.5473398566246033, 0.19236305356025696, 0.059127602726221085]","[0.5756840705871582, 0.6898759603500366, -0.05841933190822601]"
"[0.6398067474365234, 0.3148350715637207, 0.04659486934542656]","[0.6245538592338562, 0.30320310592651367, 0.035014793276786804]","[0.606415867805481, 0.30330100655555725, 0.03131517395377159]","[0.5885905027389526, 0.3186643123626709, 0.034454941749572754]","[0.6075262427330017, 0.32530680298805237, 0.029471252113580704]","[0.6267808079719543, 0.32355642318725586, 0.03352569043636322]","[0.5201350450515747, 0.3293344974517822, 0.030875178053975105]","[0.5011471509933472, 0.31964826583862305, 0.026229146867990494]","[0.4831506311893463, 0.3252265155315399, 0.02821306511759758]","[0.4687749147415161, 0.34197700023651123, 0.03864322975277901]","[0.48289674520492554, 0.34659504890441895, 0.026822878047823906]","[0.5022380948066711, 0.342190682888031, 0.024445319548249245]","[0.48289674520492554, 0.34659504890441895, 0.026822878047823906]","[0.5207000374794006, 0.5381417274475098, -0.027111077681183815]","[0.5542177557945251, 0.5116068720817566, -0.044176120311021805]","[0.5771752595901489, 0.5072299838066101, -0.04304308071732521]","[0.6112400889396667, 0.5208612680435181, -0.0227405596524477]","[0.5782431364059448, 0.513054370880127, -0.04591059684753418]","[0.5541461110115051, 0.5172513723373413, -0.04720717668533325]","[0.5456023812294006, 0.1469256579875946, 0.04880504682660103]","[0.5741680860519409, 0.6887155175209045, -0.052673857659101486]"
"[0.6395754814147949, 0.31665000319480896, 0.04514561966061592]","[0.6241477131843567, 0.30555015802383423, 0.03320550173521042]","[0.6061520576477051, 0.3050521910190582, 0.0295430738478899]","[0.5881887674331665, 0.31829214096069336, 0.03313868120312691]","[0.6068882346153259, 0.3254900574684143, 0.028093144297599792]","[0.6263743042945862, 0.3243650794029236, 0.03194389492273331]","[0.5193806886672974, 0.329152911901474, 0.030177302658557892]","[0.4997286796569824, 0.3216989040374756, 0.025417855009436607]","[0.48198792338371277, 0.32801130414009094, 0.027651440352201462]","[0.46782588958740234, 0.34404635429382324, 0.03863239288330078]","[0.4819897711277008, 0.3477208614349365, 0.026628131046891212]","[0.5015698671340942, 0.34268298745155334, 0.024005865678191185]","[0.4819897711277008, 0.3477208614349365, 0.026628131046891212]","[0.5194337368011475, 0.5373986959457397, -0.025694772601127625]","[0.5535050630569458, 0.511187732219696, -0.043101951479911804]","[0.5773547887802124, 0.5065535306930542, -0.04207749664783478]","[0.6115469932556152, 0.5190114378929138, -0.021969426423311234]","[0.577826201915741, 0.5109895467758179, -0.04470503702759743]","[0.5534037351608276, 0.5155977606773376, -0.04589642211794853]","[0.5445603132247925, 0.14364337921142578, 0.04705626890063286]","[0.5730876922607422, 0.6964060068130493, -0.051745302975177765]"
"[0.6390503644943237, 0.31786513328552246, 0.045241985470056534]","[0.6237466335296631, 0.30727294087409973, 0.033274807035923004]","[0.6058613061904907, 0.30665814876556396, 0.029576336964964867]","[0.5879199504852295, 0.3189796209335327, 0.0330854170024395]","[0.6063764691352844, 0.32592183351516724, 0.028173860162496567]","[0.6257637143135071, 0.32496339082717896, 0.032100655138492584]","[0.5194631218910217, 0.3295033574104309, 0.029702238738536835]","[0.4999665319919586, 0.322574257850647, 0.024790380150079727]","[0.48235076665878296, 0.3287055492401123, 0.02685171365737915]","[0.46816304326057434, 0.34421104192733765, 0.03774541988968849]","[0.4823749363422394, 0.3474401831626892, 0.025949761271476746]","[0.5018391609191895, 0.3425293266773224, 0.023471727967262268]","[0.4823749363422394, 0.3474401831626892, 0.025949761271476746]","[0.5183306336402893, 0.537499725818634, -0.025145046412944794]","[0.553026556968689, 0.5124988555908203, -0.04259534552693367]","[0.5773104429244995, 0.5079566240310669, -0.041365157812833786]","[0.6118618845939636, 0.5196370482444763, -0.02088181860744953]","[0.5776785612106323, 0.5113224387168884, -0.044276345521211624]","[0.552968442440033, 0.5157988667488098, -0.045711953192949295]","[0.5446609258651733, 0.14538058638572693, 0.046506259590387344]","[0.5728834867477417, 0.698866605758667, -0.05160976201295853]"
"[0.6388071179389954, 0.31704413890838623, 0.04504493996500969]","[0.623468279838562, 0.3061733543872833, 0.0330452024936676]","[0.6055117845535278, 0.30576592683792114, 0.029353268444538116]","[0.5876134037971497, 0.3186880946159363, 0.03290211036801338]","[0.606237530708313, 0.3256700038909912, 0.027963588014245033]","[0.6256414651870728, 0.32452771067619324, 0.031866878271102905]","[0.5191318988800049, 0.329799085855484, 0.029612289741635323]","[0.49958592653274536, 0.3226156532764435, 0.024714192375540733]","[0.4819428324699402, 0.328937828540802, 0.02683105878531933]","[0.4678099453449249, 0.3448590636253357, 0.03780048340559006]","[0.48191672563552856, 0.3481045663356781, 0.025937629863619804]","[0.5013998746871948, 0.34315431118011475, 0.023401712998747826]","[0.48191672563552856, 0.3481045663356781, 0.025937629863619804]","[0.518423318862915, 0.538481593132019, -0.024922391399741173]","[0.5530577301979065, 0.513260543346405, -0.042587168514728546]","[0.5773443579673767, 0.5085854530334473, -0.041396547108888626]","[0.6118217706680298, 0.5201488733291626, -0.02082052081823349]","[0.5777955055236816, 0.5126516819000244, -0.04413076117634773]","[0.5530034899711609, 0.5172837972640991, -0.04551677033305168]","[0.5436683297157288, 0.1449674367904663, 0.046123526990413666]","[0.573244571685791, 0.6990069150924683, -0.05105770006775856]"
"[0.638855516910553, 0.31680557131767273, 0.04511738196015358]","[0.623568058013916, 0.30600106716156006, 0.03310993313789368]","[0.6056158542633057, 0.3055501878261566, 0.029408438131213188]","[0.5876849293708801, 0.3182907700538635, 0.032924145460128784]","[0.6062799096107483, 0.32525739073753357, 0.02801782451570034]","[0.6256595253944397, 0.3241681456565857, 0.03194190934300423]","[0.5191521048545837, 0.3292433023452759, 0.029546422883868217]","[0.49966153502464294, 0.3221306800842285, 0.024622611701488495]","[0.4819965362548828, 0.328375905752182, 0.026708796620368958]","[0.46785473823547363, 0.3442313075065613, 0.037660446017980576]","[0.48198792338371277, 0.3474581837654114, 0.02581709623336792]","[0.5014621615409851, 0.34251782298088074, 0.023320194333791733]","[0.48198792338371277, 0.3474581837654114, 0.02581709623336792]","[0.5185431838035583, 0.53837651014328, -0.02493995986878872]","[0.5531994700431824, 0.5133113265037537, -0.04260839894413948]","[0.5774803757667542, 0.5086726546287537, -0.04136372357606888]","[0.6120352149009705, 0.5201730728149414, -0.020710866898298264]","[0.5779339671134949, 0.5126091837882996, -0.04415944218635559]","[0.5531050562858582, 0.5172014832496643, -0.04560833424329758]","[0.5437362194061279, 0.14498618245124817, 0.04613357409834862]","[0.573515772819519, 0.6991294622421265, -0.050979141145944595]"
"[0.6388863921165466, 0.31673040986061096, 0.045028604567050934]","[0.6235631108283997, 0.3058727979660034, 0.03304619342088699]","[0.6055998206138611, 0.3054388761520386, 0.029379233717918396]","[0.5876408815383911, 0.3182837963104248, 0.03292969986796379]","[0.6062623262405396, 0.32527267932891846, 0.027982870116829872]","[0.6256799697875977, 0.3241736888885498, 0.03187334164977074]","[0.5191641449928284, 0.3293013274669647, 0.029699940234422684]","[0.4996454417705536, 0.3221427798271179, 0.02482523024082184]","[0.4819929599761963, 0.32843294739723206, 0.0269460491836071]","[0.4678724408149719, 0.3443543016910553, 0.03791462257504463]","[0.48197245597839355, 0.34760743379592896, 0.026041759178042412]","[0.5014525055885315, 0.34264618158340454, 0.023504456505179405]","[0.48197245597839355, 0.34760743379592896, 0.026041759178042412]","[0.5185428857803345, 0.5384544730186462, -0.024938015267252922]","[0.5531560778617859, 0.513150691986084, -0.042647913098335266]","[0.5774155259132385, 0.5084651708602905, -0.0414796881377697]","[0.6120443344116211, 0.5200197696685791, -0.020926347002387047]","[0.5778603553771973, 0.5123504996299744, -0.04425587132573128]","[0.5530582666397095, 0.5169866681098938, -0.045629505068063736]","[0.5437141060829163, 0.14489498734474182, 0.04630238935351372]","[0.5733776688575745, 0.6992052793502808, -0.05119377002120018]"
"[0.6404173374176025, 0.3168105483055115, 0.04564435034990311]","[0.6252331733703613, 0.3057505190372467, 0.03354739397764206]","[0.6072922945022583, 0.3051723539829254, 0.02974049188196659]","[0.5893035531044006, 0.3179641366004944, 0.033168237656354904]","[0.6079484224319458, 0.32507985830307007, 0.02835029922425747]","[0.627295732498169, 0.3240815997123718, 0.03237020596861839]","[0.5207775235176086, 0.3284117877483368, 0.02939537540078163]","[0.5012826323509216, 0.32092663645744324, 0.024389095604419708]","[0.4835897386074066, 0.32704585790634155, 0.0263943150639534]","[0.4693768322467804, 0.3430112600326538, 0.037307292222976685]","[0.48350778222084045, 0.34637928009033203, 0.025498589500784874]","[0.5030103325843811, 0.34160110354423523, 0.023080876097083092]","[0.48350778222084045, 0.34637928009033203, 0.025498589500784874]","[0.5199412107467651, 0.5375955700874329, -0.025283118709921837]","[0.5548620223999023, 0.5128241181373596, -0.04272923246026039]","[0.5791279077529907, 0.5082935690879822, -0.041342876851558685]","[0.6135448813438416, 0.519721269607544, -0.020579444244503975]","[0.5795350670814514, 0.5116913318634033, -0.04420236125588417]","[0.5547207593917847, 0.5161525011062622, -0.04582769051194191]","[0.5456850528717041, 0.14354687929153442, 0.046212758868932724]","[0.5747140645980835, 0.6984530687332153, -0.05117740482091904]"
"[0.6409624814987183, 0.3167204260826111, 0.04556194320321083]","[0.6258018612861633, 0.3056427836418152, 0.03353177383542061]","[0.6079088449478149, 0.3050067722797394, 0.0297489482909441]","[0.5899470448493958, 0.31771335005760193, 0.03316202387213707]","[0.6084831357002258, 0.32483550906181335, 0.02834821492433548]","[0.6278027296066284, 0.323909729719162, 0.03233981877565384]","[0.5215455293655396, 0.32785502076148987, 0.029414022341370583]","[0.5021136403083801, 0.3203098475933075, 0.024438126012682915]","[0.484465092420578, 0.3263607621192932, 0.026430491358041763]","[0.47025611996650696, 0.3422488570213318, 0.037285201251506805]","[0.4844334125518799, 0.3455844521522522, 0.025525139644742012]","[0.5038961172103882, 0.3408605456352234, 0.023114819079637527]","[0.4844334125518799, 0.3455844521522522, 0.025525139644742012]","[0.5203177332878113, 0.5367088317871094, -0.02511420287191868]","[0.5553804636001587, 0.5119558572769165, -0.042638227343559265]","[0.5798328518867493, 0.5074611902236938, -0.04126666486263275]","[0.6143179535865784, 0.5190160870552063, -0.020452123135328293]","[0.5802142024040222, 0.5108381509780884, -0.04417327418923378]","[0.5553123354911804, 0.5152574777603149, -0.04578497260808945]","[0.54649418592453, 0.14326176047325134, 0.04628711938858032]","[0.5752663612365723, 0.6982894539833069, -0.05143125727772713]"
"[0.6418808102607727, 0.31692421436309814, 0.0463460274040699]","[0.6268685460090637, 0.3058243989944458, 0.034304428845644]","[0.6090694069862366, 0.30497226119041443, 0.030432064086198807]","[0.5910931825637817, 0.3173275589942932, 0.033717080950737]","[0.6095449328422546, 0.32458120584487915, 0.028969397768378258]","[0.628783106803894, 0.3238494396209717, 0.03306514024734497]","[0.5227817296981812, 0.32673507928848267, 0.029500452801585197]","[0.5034176111221313, 0.319175660610199, 0.024447275325655937]","[0.48578786849975586, 0.3251015543937683, 0.026295220479369164]","[0.47147902846336365, 0.34075838327407837, 0.03702068701386452]","[0.48569855093955994, 0.34407341480255127, 0.025361699983477592]","[0.5051536560058594, 0.3394865095615387, 0.023075098171830177]","[0.48569855093955994, 0.34407341480255127, 0.025361699983477592]","[0.5212097764015198, 0.5359874367713928, -0.025706861168146133]","[0.5564495921134949, 0.511268675327301, -0.04291762411594391]","[0.5809746980667114, 0.5069527626037598, -0.04137350618839264]","[0.6152541041374207, 0.5189645886421204, -0.02046007104218006]","[0.5813441872596741, 0.5105717182159424, -0.04424843564629555]","[0.5564001798629761, 0.5147939324378967, -0.04603879898786545]","[0.5481746792793274, 0.142997145652771, 0.04716593027114868]","[0.5759637355804443, 0.69813472032547, -0.05215183645486832]"
