left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.682379424571991, 0.3142036497592926, 0.059212006628513336]","[0.6662861704826355, 0.3086649179458618, 0.03828899934887886]","[0.6394852995872498, 0.3075238764286041, 0.02877045050263405]","[0.6128870248794556, 0.3142652213573456, 0.03263640031218529]","[0.6373569369316101, 0.3189232349395752, 0.030174529179930687]","[0.6642446517944336, 0.3189142048358917, 0.03966018185019493]","[0.5195799469947815, 0.31395867466926575, 0.012620351277291775]","[0.4903453588485718, 0.30691656470298767, 0.00026828079717233777]","[0.4616782069206238, 0.30834323167800903, 0.0002627302019391209]","[0.4406467080116272, 0.3140840530395508, 0.014659355394542217]","[0.4643287658691406, 0.3188827633857727, 0.002373303519561887]","[0.4936463534832001, 0.3185528516769409, 0.002228390658274293]","[0.4643287658691406, 0.3188827633857727, 0.002373303519561887]","[0.513443112373352, 0.4202807545661926, -0.02523905225098133]","[0.562502920627594, 0.4166984558105469, -0.04210289195179939]","[0.5888431668281555, 0.4165232181549072, -0.03528939187526703]","[0.6234344840049744, 0.4189825654029846, -0.002015001606196165]","[0.5904081463813782, 0.4176693558692932, -0.03385550156235695]","[0.560433030128479, 0.4178989827632904, -0.04128807410597801]","[0.5716037154197693, 0.2365075796842575, 0.0077552576549351215]","[0.5673790574073792, 0.49339643120765686, -0.010248725302517414]"
"[0.6839893460273743, 0.3151218593120575, 0.060770969837903976]","[0.6671788692474365, 0.30885639786720276, 0.0399281345307827]","[0.6405564546585083, 0.30749785900115967, 0.030927129089832306]","[0.6138721704483032, 0.31469470262527466, 0.035100627690553665]","[0.6385874152183533, 0.31946659088134766, 0.03210148215293884]","[0.6657311916351318, 0.3197840750217438, 0.04115969315171242]","[0.5197972059249878, 0.31366053223609924, 0.01680601015686989]","[0.4910695552825928, 0.3057805597782135, 0.005177340004593134]","[0.4630911350250244, 0.30704265832901, 0.005526680499315262]","[0.44230663776397705, 0.31328102946281433, 0.020162349566817284]","[0.46478140354156494, 0.3183576166629791, 0.007233419921249151]","[0.49389660358428955, 0.3182607889175415, 0.006579960230737925]","[0.46478140354156494, 0.3183576166629791, 0.007233419921249151]","[0.5094348192214966, 0.4195765256881714, -0.02668818272650242]","[0.5593767166137695, 0.41501495242118835, -0.044739723205566406]","[0.5875983238220215, 0.41477927565574646, -0.038712646812200546]","[0.6248735785484314, 0.41828086972236633, -0.005325366277247667]","[0.5885347127914429, 0.4161979854106903, -0.03831549733877182]","[0.5578756332397461, 0.4164574146270752, -0.04490923136472702]","[0.5714903473854065, 0.23077483475208282, 0.014733590185642242]","[0.566340446472168, 0.4926735758781433, -0.019830826669931412]"
"[0.6814317107200623, 0.31458738446235657, 0.060854457318782806]","[0.6643984317779541, 0.3088703751564026, 0.04023886099457741]","[0.6383649706840515, 0.3076251745223999, 0.03118917904794216]","[0.6127169728279114, 0.3141672611236572, 0.03526827320456505]","[0.6369538903236389, 0.31875866651535034, 0.032363876700401306]","[0.6636278033256531, 0.31899264454841614, 0.04142479598522186]","[0.5186387300491333, 0.31353962421417236, 0.01682368479669094]","[0.49010878801345825, 0.30677926540374756, 0.005136497784405947]","[0.4625822901725769, 0.3082784414291382, 0.005347684025764465]","[0.44150352478027344, 0.31407541036605835, 0.01963157393038273]","[0.46457210183143616, 0.3186146914958954, 0.007081210613250732]","[0.49329274892807007, 0.31817683577537537, 0.006586690433323383]","[0.46457210183143616, 0.3186146914958954, 0.007081210613250732]","[0.5095748901367188, 0.4192188084125519, -0.026920832693576813]","[0.5606556534767151, 0.41483059525489807, -0.04447610303759575]","[0.5893164277076721, 0.41448158025741577, -0.03824516385793686]","[0.6260652542114258, 0.4174441695213318, -0.004890224430710077]","[0.5901427865028381, 0.41526100039482117, -0.0384402796626091]","[0.5594889521598816, 0.41569605469703674, -0.0453311987221241]","[0.5685402154922485, 0.22833251953125, 0.01563328132033348]","[0.5693976283073425, 0.4930204749107361, -0.021282419562339783]"
"[0.6790006160736084, 0.3145751655101776, 0.060361746698617935]","[0.6620479822158813, 0.30895352363586426, 0.039946261793375015]","[0.6362075805664062, 0.30766308307647705, 0.031072989106178284]","[0.6106882095336914, 0.31411218643188477, 0.03515072166919708]","[0.6344904899597168, 0.3185619115829468, 0.03222168982028961]","[0.6609752774238586, 0.3188054859638214, 0.04114070534706116]","[0.5167250037193298, 0.3133922815322876, 0.017197417095303535]","[0.488402783870697, 0.30661889910697937, 0.0056186094880104065]","[0.4609920382499695, 0.30812254548072815, 0.005878026597201824]","[0.4400937259197235, 0.313892126083374, 0.020056983456015587]","[0.4632304906845093, 0.3183974623680115, 0.007575192954391241]","[0.491758793592453, 0.31792646646499634, 0.007098394446074963]","[0.4632304906845093, 0.3183974623680115, 0.007575192954391241]","[0.5085767507553101, 0.41949981451034546, -0.026856737211346626]","[0.5590624213218689, 0.4148668050765991, -0.04458289593458176]","[0.5879963040351868, 0.4144634008407593, -0.03847773000597954]","[0.6248154044151306, 0.41746431589126587, -0.005262556951493025]","[0.588699460029602, 0.4156912863254547, -0.03858304023742676]","[0.5578969717025757, 0.41616010665893555, -0.04537026211619377]","[0.5665785074234009, 0.2283729761838913, 0.01651448756456375]","[0.5684968829154968, 0.493889719247818, -0.021463608369231224]"
"[0.6807727813720703, 0.31450778245925903, 0.060229137539863586]","[0.6637078523635864, 0.30887019634246826, 0.04029124230146408]","[0.637691855430603, 0.3076786398887634, 0.03167954459786415]","[0.6122101545333862, 0.31435510516166687, 0.035744838416576385]","[0.6362372040748596, 0.3189120292663574, 0.032550204545259476]","[0.6627218723297119, 0.3191658854484558, 0.04117124527692795]","[0.5179232954978943, 0.3135415315628052, 0.018726471811532974]","[0.48971015214920044, 0.3064945340156555, 0.007555154152214527]","[0.46203017234802246, 0.3078744411468506, 0.0080091068521142]","[0.44092801213264465, 0.31354376673698425, 0.02216358482837677]","[0.46386030316352844, 0.31846222281455994, 0.009404354728758335]","[0.4925684332847595, 0.31808343529701233, 0.008733280003070831]","[0.46386030316352844, 0.31846222281455994, 0.009404354728758335]","[0.5088844299316406, 0.4187626540660858, -0.02806677669286728]","[0.5585836172103882, 0.413530170917511, -0.045844048261642456]","[0.5872144103050232, 0.4133172929286957, -0.04010841250419617]","[0.6240678429603577, 0.41751495003700256, -0.00769105926156044]","[0.5878830552101135, 0.4148990511894226, -0.03941357135772705]","[0.5571157932281494, 0.41518890857696533, -0.04574237018823624]","[0.5680729746818542, 0.22891409695148468, 0.02012939192354679]","[0.5676957368850708, 0.48829731345176697, -0.02323967032134533]"
"[0.6736849546432495, 0.31433412432670593, 0.07634292542934418]","[0.6592339873313904, 0.30746012926101685, 0.05552781745791435]","[0.6335668563842773, 0.3061799705028534, 0.04426998645067215]","[0.6070026755332947, 0.31520307064056396, 0.0440375842154026]","[0.6322165727615356, 0.32003358006477356, 0.0432899072766304]","[0.6583988070487976, 0.31980982422828674, 0.05482720211148262]","[0.5211524367332458, 0.31323274970054626, 0.013610116206109524]","[0.492165744304657, 0.30293622612953186, 0.0009102665353566408]","[0.4638957381248474, 0.30375567078590393, -0.0024176884908229113]","[0.4417867064476013, 0.3104422688484192, 0.008181228302419186]","[0.4659698009490967, 0.31684982776641846, -0.0019696590024977922]","[0.49518081545829773, 0.3173544108867645, 0.0007035302696749568]","[0.4659698009490967, 0.31684982776641846, -0.0019696590024977922]","[0.5170878171920776, 0.4123195707798004, -0.03535888344049454]","[0.5698072910308838, 0.4084509611129761, -0.0460687018930912]","[0.6001530885696411, 0.40832197666168213, -0.03655816614627838]","[0.6347162127494812, 0.4108617603778839, -0.0016264548758044839]","[0.5998631715774536, 0.4084153473377228, -0.036171190440654755]","[0.5692976713180542, 0.40851810574531555, -0.04640454798936844]","[0.5686792135238647, 0.23019783198833466, 0.027717456221580505]","[0.5746896862983704, 0.4819774925708771, -0.035504747182130814]"
"[0.6803625822067261, 0.31143316626548767, 0.06734003871679306]","[0.6636216044425964, 0.30214402079582214, 0.05065141245722771]","[0.6359041333198547, 0.3005117177963257, 0.04464957118034363]","[0.6089785099029541, 0.3106174170970917, 0.047438573092222214]","[0.633522629737854, 0.31472495198249817, 0.04168662056326866]","[0.6609458923339844, 0.3151285648345947, 0.048242874443531036]","[0.5130189061164856, 0.3091087341308594, 0.03638928756117821]","[0.484674334526062, 0.2990831136703491, 0.02850434184074402]","[0.4567953944206238, 0.30032429099082947, 0.029323216527700424]","[0.4365878701210022, 0.3089064955711365, 0.042171329259872437]","[0.4592047929763794, 0.31248465180397034, 0.027616960927844048]","[0.4875694513320923, 0.3122384548187256, 0.025772210210561752]","[0.4592047929763794, 0.31248465180397034, 0.027616960927844048]","[0.4833531975746155, 0.40236058831214905, -0.03641391545534134]","[0.5384290218353271, 0.3975413143634796, -0.05464094504714012]","[0.5731580853462219, 0.39788007736206055, -0.05076843872666359]","[0.6111010313034058, 0.4031464159488678, -0.0225429255515337]","[0.573508083820343, 0.39926624298095703, -0.052954114973545074]","[0.5387393236160278, 0.3992109000682831, -0.05737832188606262]","[0.571821391582489, 0.2310245931148529, 0.05739511549472809]","[0.5440255999565125, 0.47743329405784607, -0.06107018142938614]"
"[0.6828532814979553, 0.30632734298706055, 0.05958620831370354]","[0.6659926176071167, 0.2978893220424652, 0.042701300233602524]","[0.6382693648338318, 0.2976827323436737, 0.036476727575063705]","[0.6117395758628845, 0.3104839622974396, 0.039821021258831024]","[0.637830376625061, 0.3135450482368469, 0.03445776551961899]","[0.6647987365722656, 0.31233978271484375, 0.04108447581529617]","[0.5189371705055237, 0.3124293088912964, 0.028776878491044044]","[0.48806533217430115, 0.30090710520744324, 0.020268023014068604]","[0.4593994915485382, 0.30289238691329956, 0.02121836505830288]","[0.4408259987831116, 0.3125446140766144, 0.03473207354545593]","[0.46393659710884094, 0.3174504041671753, 0.020840927958488464]","[0.49275118112564087, 0.3167923390865326, 0.019032979384064674]","[0.46393659710884094, 0.3174504041671753, 0.020840927958488464]","[0.5225406885147095, 0.40982556343078613, -0.02955898828804493]","[0.5712888240814209, 0.4033445417881012, -0.04810074344277382]","[0.6028171181678772, 0.4021329879760742, -0.04445582628250122]","[0.6418770551681519, 0.404360830783844, -0.017046313732862473]","[0.6046788692474365, 0.4046263098716736, -0.04395556077361107]","[0.5718217492103577, 0.40602537989616394, -0.04843255877494812]","[0.5552979707717896, 0.23050889372825623, 0.03822304308414459]","[0.5939559936523438, 0.4759792983531952, -0.041340094059705734]"
"[0.6811410188674927, 0.313692569732666, 0.062135595828294754]","[0.6652655601501465, 0.30709728598594666, 0.043467335402965546]","[0.6390352845191956, 0.3064306974411011, 0.03499235957860947]","[0.6125164031982422, 0.3160323202610016, 0.03741618990898132]","[0.6375558376312256, 0.32040268182754517, 0.03401772305369377]","[0.6641253232955933, 0.31981194019317627, 0.04249009117484093]","[0.5229659676551819, 0.3151131272315979, 0.020150383934378624]","[0.49398019909858704, 0.30502453446388245, 0.009894566610455513]","[0.46570464968681335, 0.3057428002357483, 0.01005321554839611]","[0.44500696659088135, 0.31234076619148254, 0.023364275693893433]","[0.4675045311450958, 0.3186355233192444, 0.010227066464722157]","[0.4965391457080841, 0.319242000579834, 0.009553628973662853]","[0.4675045311450958, 0.3186355233192444, 0.010227066464722157]","[0.5103347301483154, 0.4083378314971924, -0.030889378860592842]","[0.5570215582847595, 0.4043887257575989, -0.045588575303554535]","[0.5863044857978821, 0.40446484088897705, -0.03932636231184006]","[0.6197732090950012, 0.40853351354599, -0.009482795372605324]","[0.5863674283027649, 0.4069052040576935, -0.03700432553887367]","[0.5569223165512085, 0.40685468912124634, -0.043745044618844986]","[0.5723552703857422, 0.2329675257205963, 0.02713797800242901]","[0.5670632719993591, 0.4774092733860016, -0.03232486918568611]"
"[0.6792539358139038, 0.3138076066970825, 0.062028490006923676]","[0.6629965901374817, 0.30780959129333496, 0.04162433743476868]","[0.6363016963005066, 0.30685505270957947, 0.032426152378320694]","[0.6100702285766602, 0.3151049017906189, 0.035709746181964874]","[0.6354979872703552, 0.31974372267723083, 0.03300200402736664]","[0.662320077419281, 0.31926053762435913, 0.04222541302442551]","[0.5188031792640686, 0.3143298625946045, 0.016401592642068863]","[0.49037861824035645, 0.30573686957359314, 0.004786685109138489]","[0.4620949625968933, 0.30684274435043335, 0.00470002181828022]","[0.4412374794483185, 0.3130324184894562, 0.01856095716357231]","[0.46376246213912964, 0.31863903999328613, 0.0060811578296124935]","[0.49247628450393677, 0.31888893246650696, 0.005888748914003372]","[0.46376246213912964, 0.31863903999328613, 0.0060811578296124935]","[0.513435959815979, 0.41874757409095764, -0.02720794454216957]","[0.5627111792564392, 0.4137864112854004, -0.04490366578102112]","[0.5914489030838013, 0.41333943605422974, -0.0386103019118309]","[0.6284008026123047, 0.41671523451805115, -0.004793854895979166]","[0.5927845239639282, 0.41578593850135803, -0.037181299179792404]","[0.5615577101707458, 0.41619497537612915, -0.04391384497284889]","[0.5660301446914673, 0.23190879821777344, 0.01695474237203598]","[0.5735617876052856, 0.48353999853134155, -0.021267376840114594]"
