left_eye_263,left_eye_387,left_eye_385,left_eye_362,left_eye_380,left_eye_373,right_eye_133,right_eye_158,right_eye_160,right_eye_33,right_eye_144,right_eye_153,right_eye_144,mouth_78,mouth_82,mouth_312,mouth_308,mouth_317,mouth_87,head_10,head_152
"[0.687443196773529, 0.3236108422279358, 0.0794464647769928]","[0.6719380021095276, 0.3183857798576355, 0.06062595173716545]","[0.6481949090957642, 0.31724265217781067, 0.050582412630319595]","[0.624843180179596, 0.32113105058670044, 0.05025467649102211]","[0.6472651958465576, 0.3259315490722656, 0.04876476526260376]","[0.6714127063751221, 0.32664379477500916, 0.059081338346004486]","[0.5347751379013062, 0.3196967542171478, 0.023331614211201668]","[0.5092244744300842, 0.31525304913520813, 0.012272625230252743]","[0.4830978810787201, 0.31630057096481323, 0.009854970499873161]","[0.4610561430454254, 0.32095909118652344, 0.02007126249372959]","[0.48380807042121887, 0.32438236474990845, 0.009087015874683857]","[0.5110818147659302, 0.32381129264831543, 0.011129304766654968]","[0.48380807042121887, 0.32438236474990845, 0.009087015874683857]","[0.5328428149223328, 0.4111999571323395, -0.047699782997369766]","[0.5801778435707092, 0.4037584066390991, -0.056614574044942856]","[0.6051303148269653, 0.4039516746997833, -0.04794972017407417]","[0.6347629427909851, 0.41149821877479553, -0.016735004261136055]","[0.6060675978660583, 0.40644893050193787, -0.04930257797241211]","[0.5776493549346924, 0.40635719895362854, -0.058607541024684906]","[0.5843786001205444, 0.2540569305419922, 0.05347844213247299]","[0.585959792137146, 0.4816557765007019, -0.05177629366517067]"
"[0.679913341999054, 0.3231966197490692, 0.07919775694608688]","[0.6644745469093323, 0.31703728437423706, 0.060257721692323685]","[0.6422155499458313, 0.31533586978912354, 0.050010859966278076]","[0.6191778182983398, 0.32007598876953125, 0.04952674359083176]","[0.6416465044021606, 0.32555660605430603, 0.048164449632167816]","[0.665207028388977, 0.32649877667427063, 0.058672841638326645]","[0.5331161022186279, 0.3170296847820282, 0.022073592990636826]","[0.5089273452758789, 0.3104126453399658, 0.011127743870019913]","[0.48394155502319336, 0.3110341727733612, 0.00866888277232647]","[0.46153032779693604, 0.3165963888168335, 0.018672414124011993]","[0.4828178584575653, 0.3210897445678711, 0.00783535372465849]","[0.5096784234046936, 0.3211800158023834, 0.009917672723531723]","[0.4828178584575653, 0.3210897445678711, 0.00783535372465849]","[0.5298769474029541, 0.410807341337204, -0.045830510556697845]","[0.5772371292114258, 0.4035390615463257, -0.05567330867052078]","[0.603239893913269, 0.40371519327163696, -0.04677097126841545]","[0.633458137512207, 0.41091492772102356, -0.01415257528424263]","[0.6042545437812805, 0.40630093216896057, -0.04721754789352417]","[0.5763132572174072, 0.4060400128364563, -0.0568789541721344]","[0.5811729431152344, 0.23984947800636292, 0.051408424973487854]","[0.5835225582122803, 0.48080921173095703, -0.0528978630900383]"
"[0.6837693452835083, 0.32475367188453674, 0.07993454486131668]","[0.6678900718688965, 0.3184956908226013, 0.06106957793235779]","[0.6453116536140442, 0.316685289144516, 0.05124984681606293]","[0.6221140027046204, 0.32086706161499023, 0.05111738294363022]","[0.6447462439537048, 0.32642704248428345, 0.04919328913092613]","[0.6686987280845642, 0.32764261960983276, 0.059235453605651855]","[0.5333841443061829, 0.3180124759674072, 0.02568437159061432]","[0.5080733299255371, 0.31211036443710327, 0.014913033694028854]","[0.4827909469604492, 0.31313255429267883, 0.012941502034664154]","[0.46014729142189026, 0.31875041127204895, 0.023524435237050056]","[0.48196494579315186, 0.32260456681251526, 0.012006575241684914]","[0.5093011260032654, 0.3223690986633301, 0.013631739653646946]","[0.48196494579315186, 0.32260456681251526, 0.012006575241684914]","[0.5274845957756042, 0.4116123616695404, -0.04808478057384491]","[0.5768860578536987, 0.40371787548065186, -0.059097226709127426]","[0.604023814201355, 0.40398916602134705, -0.050406504422426224]","[0.6347559094429016, 0.41227030754089355, -0.017687799409031868]","[0.6046615242958069, 0.4075726270675659, -0.05110691487789154]","[0.5754052996635437, 0.40726637840270996, -0.06060338392853737]","[0.5810080766677856, 0.24131684005260468, 0.058392126113176346]","[0.5843888521194458, 0.48632580041885376, -0.057839009910821915]"
"[0.6839492321014404, 0.32502827048301697, 0.08178205043077469]","[0.6682634949684143, 0.31843018531799316, 0.06300341337919235]","[0.6457313895225525, 0.316607266664505, 0.05308473855257034]","[0.6227253079414368, 0.32121115922927856, 0.05255211889743805]","[0.6453378200531006, 0.3267782926559448, 0.050699278712272644]","[0.6690914630889893, 0.32791784405708313, 0.060922738164663315]","[0.53436279296875, 0.318411260843277, 0.026025982573628426]","[0.50905442237854, 0.31197524070739746, 0.015334266237914562]","[0.48362985253334045, 0.31298598647117615, 0.012920411303639412]","[0.4607572555541992, 0.3190162777900696, 0.023083994165062904]","[0.4828028678894043, 0.32299813628196716, 0.011815567500889301]","[0.5101938247680664, 0.3227912187576294, 0.0137745076790452]","[0.4828028678894043, 0.32299813628196716, 0.011815567500889301]","[0.5283603668212891, 0.4129210114479065, -0.049170978367328644]","[0.5787280797958374, 0.4053797125816345, -0.05971916764974594]","[0.6062806844711304, 0.40569454431533813, -0.050671134144067764]","[0.6371321678161621, 0.41367390751838684, -0.017502067610621452]","[0.6068198680877686, 0.40875211358070374, -0.051934994757175446]","[0.577207088470459, 0.40840551257133484, -0.06185774877667427]","[0.5826244950294495, 0.2408631592988968, 0.06096343323588371]","[0.5851321220397949, 0.48797550797462463, -0.06050798296928406]"
"[0.6837049126625061, 0.32583102583885193, 0.08203805238008499]","[0.6680647730827332, 0.31916508078575134, 0.06331438571214676]","[0.6456242799758911, 0.31732672452926636, 0.05340788885951042]","[0.6226130723953247, 0.32197168469429016, 0.05272167921066284]","[0.6452689170837402, 0.3276340663433075, 0.05096077546477318]","[0.6689950227737427, 0.32877808809280396, 0.061173513531684875]","[0.5347769856452942, 0.3191157579421997, 0.025947438552975655]","[0.5096710920333862, 0.3126091957092285, 0.015340903773903847]","[0.4844178557395935, 0.3135926425457001, 0.012853717431426048]","[0.4615049362182617, 0.31962621212005615, 0.022829599678516388]","[0.4833827316761017, 0.32364410161972046, 0.011661378666758537]","[0.5106702446937561, 0.3235022723674774, 0.013713527470827103]","[0.4833827316761017, 0.32364410161972046, 0.011661378666758537]","[0.5286441445350647, 0.412761390209198, -0.04933186247944832]","[0.5790632367134094, 0.40508848428726196, -0.05971486121416092]","[0.6068825125694275, 0.405470609664917, -0.05061623454093933]","[0.6377788782119751, 0.41372719407081604, -0.01749810203909874]","[0.6073266863822937, 0.4085502624511719, -0.05194138363003731]","[0.5776709318161011, 0.40812817215919495, -0.06190671771764755]","[0.582698404788971, 0.2411271631717682, 0.06165916100144386]","[0.585434079170227, 0.4876021146774292, -0.061570923775434494]"
"[0.6840708255767822, 0.3257794976234436, 0.0823325663805008]","[0.6684713959693909, 0.3191034197807312, 0.06353219598531723]","[0.6459378600120544, 0.31726598739624023, 0.05355564504861832]","[0.6228067278862, 0.3219829201698303, 0.052862245589494705]","[0.6454901695251465, 0.3275829255580902, 0.05111173167824745]","[0.6692609786987305, 0.32871800661087036, 0.061393365263938904]","[0.5347609519958496, 0.31908246874809265, 0.025864122435450554]","[0.5095802545547485, 0.3124595284461975, 0.015199338085949421]","[0.4842209219932556, 0.3134208023548126, 0.012661325745284557]","[0.4613306522369385, 0.319466769695282, 0.02266356721520424]","[0.48325225710868835, 0.3235124945640564, 0.011480988934636116]","[0.5106037259101868, 0.3234063982963562, 0.01357122790068388]","[0.48325225710868835, 0.3235124945640564, 0.011480988934636116]","[0.5284394025802612, 0.4127853810787201, -0.04925594478845596]","[0.5790547728538513, 0.40528404712677, -0.05967166647315025]","[0.6070200204849243, 0.40564480423927307, -0.05053787678480148]","[0.6382634043693542, 0.4136536121368408, -0.01725577749311924]","[0.6074520349502563, 0.4084629714488983, -0.051879361271858215]","[0.5777125954627991, 0.40805163979530334, -0.06188555061817169]","[0.5830019116401672, 0.24109315872192383, 0.061356645077466965]","[0.5851866602897644, 0.48743826150894165, -0.06161092221736908]"
"[0.6843036413192749, 0.3257021903991699, 0.08246887475252151]","[0.6686755418777466, 0.3191269636154175, 0.06356680393218994]","[0.6461107134819031, 0.3173273503780365, 0.05352715402841568]","[0.6229766607284546, 0.32196056842803955, 0.05287151038646698]","[0.6456785798072815, 0.3275156021118164, 0.05115247517824173]","[0.669482946395874, 0.32863426208496094, 0.061490416526794434]","[0.5346636772155762, 0.3191673159599304, 0.025697695091366768]","[0.5093725323677063, 0.31269535422325134, 0.014911459758877754]","[0.4839852750301361, 0.3136949837207794, 0.012353631667792797]","[0.4611012041568756, 0.31967693567276, 0.02240193821489811]","[0.48307520151138306, 0.323665976524353, 0.0112449387088418]","[0.5104817152023315, 0.32351168990135193, 0.013354494236409664]","[0.48307520151138306, 0.323665976524353, 0.0112449387088418]","[0.5285531282424927, 0.41312864422798157, -0.04917732998728752]","[0.5792415142059326, 0.40559542179107666, -0.059590939432382584]","[0.6072336435317993, 0.4059160351753235, -0.050424445420503616]","[0.6385168433189392, 0.41384005546569824, -0.0170005913823843]","[0.6077092885971069, 0.4087332785129547, -0.05168586224317551]","[0.5779134631156921, 0.40836572647094727, -0.061715997755527496]","[0.5828596949577332, 0.24131610989570618, 0.060892511159181595]","[0.5855589509010315, 0.48779600858688354, -0.06109300255775452]"
"[0.6844762563705444, 0.32597029209136963, 0.08200869709253311]","[0.6688098907470703, 0.3194171190261841, 0.06312206387519836]","[0.6462933421134949, 0.317608118057251, 0.053126122802495956]","[0.623225748538971, 0.3221980333328247, 0.05251305550336838]","[0.6458519101142883, 0.32777124643325806, 0.050797898322343826]","[0.6696430444717407, 0.3288995921611786, 0.06109653785824776]","[0.5350689888000488, 0.319399356842041, 0.02551189437508583]","[0.509853184223175, 0.3129642903804779, 0.014746642671525478]","[0.4845524728298187, 0.31395989656448364, 0.012246822938323021]","[0.4616711139678955, 0.31990858912467957, 0.022320816293358803]","[0.4836011230945587, 0.3238987326622009, 0.011173016391694546]","[0.5109521746635437, 0.3237511217594147, 0.01323710847645998]","[0.4836011230945587, 0.3238987326622009, 0.011173016391694546]","[0.5286039113998413, 0.41302475333213806, -0.04877292737364769]","[0.579234778881073, 0.4055987000465393, -0.05924507975578308]","[0.607270359992981, 0.4059494137763977, -0.05011867359280586]","[0.63860023021698, 0.4138578772544861, -0.016786130145192146]","[0.6076852083206177, 0.408627986907959, -0.0514286570250988]","[0.577933669090271, 0.4082335829734802, -0.06141521781682968]","[0.5832921266555786, 0.24124176800251007, 0.06028572842478752]","[0.5855384469032288, 0.48766595125198364, -0.06079540774226189]"
"[0.6846666932106018, 0.32585322856903076, 0.08219649642705917]","[0.6689437031745911, 0.3193191587924957, 0.06324239820241928]","[0.6463448405265808, 0.317521333694458, 0.053197506815195084]","[0.6232202649116516, 0.3220709562301636, 0.05261585861444473]","[0.6459088921546936, 0.32763904333114624, 0.05088924244046211]","[0.6697794198989868, 0.32877248525619507, 0.061221152544021606]","[0.5346586108207703, 0.3193415403366089, 0.025546684861183167]","[0.509296178817749, 0.31297922134399414, 0.01471814513206482]","[0.4839062988758087, 0.31401488184928894, 0.012223395518958569]","[0.4609924256801605, 0.31998297572135925, 0.02235584892332554]","[0.48300114274024963, 0.3239400386810303, 0.011176870204508305]","[0.5104508996009827, 0.32374101877212524, 0.013238656334578991]","[0.48300114274024963, 0.3239400386810303, 0.011176870204508305]","[0.528396725654602, 0.41344404220581055, -0.04893844574689865]","[0.5791836380958557, 0.4058402180671692, -0.059495534747838974]","[0.6072353720664978, 0.4061352610588074, -0.05034351721405983]","[0.6385438442230225, 0.41406747698783875, -0.01682049036026001]","[0.6076580286026001, 0.40903323888778687, -0.051502812653779984]","[0.5777758955955505, 0.40869343280792236, -0.061527617275714874]","[0.5830196738243103, 0.24126051366329193, 0.060378074645996094]","[0.5854730010032654, 0.4881749749183655, -0.060528866946697235]"
"[0.6843537092208862, 0.3262190818786621, 0.08175685256719589]","[0.6686242818832397, 0.319716215133667, 0.06287729740142822]","[0.6461353898048401, 0.3179124593734741, 0.05291168764233589]","[0.623110294342041, 0.32242926955223083, 0.05234236642718315]","[0.6457281708717346, 0.3280143439769745, 0.05061980336904526]","[0.6695410013198853, 0.3291376233100891, 0.060873426496982574]","[0.534998893737793, 0.31976136565208435, 0.025519492104649544]","[0.5097149610519409, 0.31350016593933105, 0.014744608663022518]","[0.4844748377799988, 0.3145686089992523, 0.012306968681514263]","[0.46160680055618286, 0.32049238681793213, 0.022436615079641342]","[0.48353859782218933, 0.3243984878063202, 0.011267129331827164]","[0.5108984112739563, 0.32417964935302734, 0.013276391662657261]","[0.48353859782218933, 0.3243984878063202, 0.011267129331827164]","[0.528643012046814, 0.41328850388526917, -0.04880639910697937]","[0.579112708568573, 0.40568190813064575, -0.05929027125239372]","[0.6070873141288757, 0.40602174401283264, -0.05019426345825195]","[0.6381816267967224, 0.41408807039260864, -0.016924096271395683]","[0.6074651479721069, 0.40898463129997253, -0.05135517194867134]","[0.5777344703674316, 0.40860798954963684, -0.061300572007894516]","[0.5829580426216125, 0.24164044857025146, 0.06032555177807808]","[0.5857095122337341, 0.48809748888015747, -0.06049375608563423]"
